SECTION_HORIZON
# The horizon length in days:
77

SECTION_SHIFTS
# ShiftID, Length in mins, Shifts which cannot follow this shift | separated
DS,25.0,
WRM,25.0,WRM
BS,20.0,DS|WRM|BS
FS,25.0,DS
OC,25.0,DS|WRM|BS|WOC|WDS|OC|FS
WDS,30.0,OC
WOC,30.0,DS|WRM|BS|OC
FBS,20.0,
FOC,25.0,
SOC,25.0,
EOC,25.0,
SEOC,25.0,
SFOC,25.0,
CA,20.0,
MI,25.0,
WFS,33.0,

SECTION_STAFF
# ID, MaxShifts, MaxTotalMinutes, MinTotalMinutes, MaxConsecutiveShifts, MinConsecutiveShifts, MinConsecutiveDaysOff, MaxWeekends
BR,OC=2|BS=2|DS=6|WRM=6|FS=6,405,0,3,1,1,3
NC,OC=4|BS=4|DS=8|WRM=8|FS=8,564,0,3,1,1,3
LJ,OC=2|BS=2|DS=5|WRM=5|FS=5,371,0,3,1,1,3
MC,OC=3|BS=3|DS=6|WRM=6|FS=6,420,0,3,1,1,3
JT,OC=4|BS=4|DS=8|WRM=8|FS=8,504,0,3,1,1,3
SP,OC=4|BS=4|DS=8|WRM=8|FS=8,608,0,3,1,1,3
KS,OC=3|BS=3|DS=7|WRM=7|FS=7,589,0,3,1,1,3
RK,OC=3|BS=3|DS=7|WRM=7|FS=7,600,0,3,1,1,3
MCW,OC=4|BS=4|DS=8|WRM=8|FS=8,588,0,3,1,1,3
JH,OC=2|BS=2|DS=5|WRM=5|FS=5,400,0,3,1,1,3
FD,OC=2|BS=2|DS=6|WRM=6|FS=6,500,0,3,1,1,3
CS,OC=2|BS=2|DS=6|WRM=6|FS=6,450,0,3,1,1,3
EP,OC=3|BS=3|DS=7|WRM=7|FS=7,546,0,3,1,1,3
RA,OC=1|BS=1|DS=4|WRM=4|FS=4,220,0,3,1,1,3
KJ,OC=4|BS=4|DS=8|WRM=8|FS=8,608,0,3,1,1,3
RR,OC=3|BS=3|DS=7|WRM=7|FS=7,602,0,3,1,1,3

SECTION_DAYS_OFF
# EmployeeID, DayIndexes (start at zero)
BR,0,1,2,3,4,5,6,7,12,13,14,19,20,21,26,27,28,31,35,37,38,39,40,41,42,43,44,45,46,47,48,49,54,55,56,61,62,63,68,69,70,75,76
NC,0,2,3,4,5,6,8,10,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31,33,34,36,38,40,41,43,45,47,48,50,52,54,55,57,59,61,62,64,66,68,69,71,73,75,76
LJ,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,23,24,25,26,27,30,31,32,33,34,37,38,39,40,41,44,45,46,47,48,51,52,53,54,55,58,59,60,61,62,65,66,67,68,69,70,71,72,73,74,75,76
MC,0,1,2,3,5,6,7,12,13,14,15,16,17,18,19,20,21,26,27,28,33,34,35,40,41,42,46,49,51,52,53,54,55,56,60,61,62,63,68,69,70,71,72,73,74,75,76
JT,0,1,2,3,7,8,9,10,11,12,13,14,15,16,17,18,19,20,26,27,29,33,34,35,36,37,38,39,40,41,43,45,47,48,53,54,55,57,61,62,64,67,70,71,72,73,74,75,76
SP,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,25,26,27,31,35,36,37,38,39,40,41,46,47,48,53,54,55,59,63,64,65,66,67,68,69,70,71,72,73,74,75,76
KS,2,3,4,5,6,9,11,12,13,14,15,16,17,18,19,20,23,25,26,27,30,32,33,34,37,39,40,41,42,43,44,46,47,48,51,52,56,58,59,60,61,62,65,67,68,69,72,74,75,76
RK,2,5,6,9,12,13,16,17,21,22,23,24,25,26,27,28,29,30,31,32,33,34,37,40,41,44,47,48,51,54,55,58,59,63,65,66,67,68,69,72,75,76
MCW,0,1,2,3,4,5,6,7,8,9,10,11,12,13,16,19,20,24,28,29,30,31,32,33,34,38,39,40,41,42,43,44,47,48,52,56,58,59,60,61,62,66,67,68,69,75,76
JH,0,3,4,5,6,7,8,9,10,11,12,13,14,17,18,19,20,21,24,25,26,27,28,31,32,33,34,35,38,39,40,41,42,45,46,47,48,49,52,53,54,55,56,59,60,61,62,63,66,67,68,69,70,73,74,75,76
FD,1,2,5,6,8,9,12,13,15,16,21,22,23,24,25,26,27,29,30,33,34,36,37,40,41,42,43,44,45,46,47,48,50,51,54,55,57,58,61,62,64,65,71,72,75,76
CS,0,2,4,5,6,7,8,9,10,11,12,13,14,16,19,20,21,22,23,24,25,26,27,28,30,33,34,35,37,38,42,43,44,45,46,47,48,49,51,54,55,56,58,59,60,61,62,63,64,65,66,67,68,69,70,72,75,76
EP,2,3,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,34,36,37,40,41,47,48,54,55,61,62,68,69,75,76
RA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
KJ,3,5,6,7,8,9,10,11,12,13,17,19,20,24,28,29,30,31,32,33,34,36,37,38,39,40,41,45,47,48,52,53,54,55,56,57,58,59,60,61,62,66,68,69,73
RR,5,6,10,14,15,16,17,18,19,20,21,22,23,24,25,26,27,33,34,38,42,43,44,45,49,50,51,52,53,54,55,60,61,62,63,68,69,75,76

SECTION_SHIFT_ON_REQUESTS
# EmployeeID, Day, ShiftID, Weight
CS,1,OC,1000
SP,3,OC,1000
JT,4,FOC,1000
EP,4,FBS,1000
JT,5,WOC,1000
EP,5,WDS,1000
JT,6,WOC,1000
EP,6,WDS,1000
NC,7,BS,1000
NC,11,FOC,1000
RR,11,FBS,1000
NC,12,WOC,1000
RR,12,WDS,1000
NC,13,WOC,1000
RR,13,WDS,1000
RK,18,FBS,1000
FD,18,FOC,1000
RK,19,WDS,1000
FD,19,WOC,1000
RK,20,WDS,1000
FD,20,WOC,1000
MCW,23,OC,1000
SP,24,OC,1000
JT,25,FOC,1000
MCW,25,FBS,1000
MCW,26,WDS,1000
KJ,26,WOC,1000
MCW,27,WDS,1000
KJ,27,WOC,1000
NC,28,OC,1000
BR,32,FBS,1000
SP,32,FOC,1000
BR,33,WDS,1000
SP,33,WOC,1000
BR,34,WDS,1000
SP,34,WOC,1000
NC,35,BS,1000
CS,39,FOC,1000
RR,39,FBS,1000
CS,40,WOC,1000
RR,40,WDS,1000
CS,41,WOC,1000
RR,41,WDS,1000
NC,42,OC,1000
SP,45,OC,1000
JT,46,FOC,1000
RR,46,FBS,1000
MC,47,WOC,1000
RR,47,WDS,1000
MC,48,WOC,1000
RR,48,WDS,1000
NC,49,BS,1000
SP,52,OC,1000
KS,53,FBS,1000
MCW,53,FOC,1000
KS,54,WDS,1000
MCW,54,WOC,1000
KS,55,WDS,1000
MCW,55,WOC,1000
NC,56,OC,1000
SP,60,FOC,1000
RK,60,FBS,1000
SP,61,WOC,1000
RK,61,WDS,1000
SP,62,WOC,1000
RK,62,WDS,1000
NC,63,BS,1000
MC,67,FOC,1000
RR,67,FBS,1000
JT,68,WDS,1000
FD,68,WOC,1000
JT,69,WDS,1000
FD,69,WOC,1000
NC,70,OC,1000
FD,74,FOC,1000
RA,74,FS,1000
KJ,74,FBS,1000
RA,75,WOC,1000
KJ,75,WDS,1000
RA,76,WOC,1000
KJ,76,WDS,1000

SECTION_SHIFT_OFF_REQUESTS
# EmployeeID, Day, ShiftID, Weight
RK,0,OC,1000
FD,0,OC,1000
NC,1,OC,1000
LJ,1,OC,1000
KS,1,OC,1000
RK,1,OC,1000
JH,2,OC,1000
RK,3,OC,1000
RK,4,OC,1000
RK,7,OC,1000
FD,7,OC,1000
KS,8,OC,1000
RK,8,OC,1000
NC,9,OC,1000
RK,10,OC,1000
RK,11,OC,1000
RK,14,OC,1000
FD,14,OC,1000
LJ,15,OC,1000
RK,15,OC,1000
CS,15,OC,1000
JH,16,OC,1000
FD,17,OC,1000
JT,21,OC,1000
KJ,21,OC,1000
LJ,22,OC,1000
JT,22,OC,1000
KS,22,OC,1000
KJ,22,OC,1000
JT,23,OC,1000
JH,23,OC,1000
KJ,23,OC,1000
JT,24,OC,1000
KJ,25,OC,1000
JT,28,OC,1000
SP,28,OC,1000
FD,28,OC,1000
BR,29,OC,1000
LJ,29,OC,1000
SP,29,OC,1000
KS,29,OC,1000
CS,29,OC,1000
BR,30,OC,1000
NC,30,OC,1000
SP,30,OC,1000
JH,30,OC,1000
FD,35,OC,1000
EP,35,BS,1000
EP,35,OC,1000
BR,36,OC,1000
LJ,36,OC,1000
KS,36,OC,1000
CS,36,OC,1000
NC,37,OC,1000
JH,37,OC,1000
JT,42,OC,1000
LJ,43,OC,1000
MC,43,OC,1000
NC,44,OC,1000
MC,44,OC,1000
MC,44,BS,1000
JT,44,OC,1000
JH,44,OC,1000
MC,45,OC,1000
MCW,49,OC,1000
FD,49,OC,1000
LJ,50,OC,1000
KS,50,OC,1000
MCW,50,OC,1000
CS,50,OC,1000
NC,51,OC,1000
MCW,51,OC,1000
JH,51,OC,1000
JT,52,OC,1000
JT,56,OC,1000
SP,56,OC,1000
FD,56,OC,1000
LJ,57,OC,1000
SP,57,OC,1000
KS,57,OC,1000
MCW,57,OC,1000
CS,57,OC,1000
NC,58,OC,1000
SP,58,OC,1000
JH,58,OC,1000
RR,59,OC,1000
JT,63,OC,1000
FD,63,OC,1000
LJ,64,OC,1000
KS,64,OC,1000
RK,64,OC,1000
NC,65,OC,1000
JH,65,OC,1000
JT,66,OC,1000
FD,67,OC,1000
FD,70,OC,1000
KS,71,OC,1000
CS,71,OC,1000
NC,72,OC,1000
JH,72,OC,1000
FD,73,OC,1000

SECTION_COVER
# Day, ShiftID, Requirement, Weight for under, Weight for over
0,DS,1,100,100
0,WRM,1,100,100
0,BS,1,100,100
0,FS,1,100,100
0,OC,1,100,100
0,WDS,0,100,100
0,WOC,0,100,100
0,FBS,0,100,100
0,FOC,0,100,100
0,SOC,0,100,100
0,EOC,0,100,100
0,SEOC,0,100,100
0,SFOC,0,100,100
0,CA,0,100,100
0,MI,0,100,100
0,WFS,0,100,100
1,DS,1,100,100
1,WRM,1,100,100
1,BS,1,100,100
1,FS,1,100,100
1,OC,1,100,100
1,WDS,0,100,100
1,WOC,0,100,100
1,FBS,0,100,100
1,FOC,0,100,100
1,SOC,0,100,100
1,EOC,0,100,100
1,SEOC,0,100,100
1,SFOC,0,100,100
1,CA,0,100,100
1,MI,0,100,100
1,WFS,0,100,100
2,DS,1,100,100
2,WRM,1,100,100
2,BS,1,100,100
2,FS,1,100,100
2,OC,1,100,100
2,WDS,0,100,100
2,WOC,0,100,100
2,FBS,0,100,100
2,FOC,0,100,100
2,SOC,0,100,100
2,EOC,0,100,100
2,SEOC,0,100,100
2,SFOC,0,100,100
2,CA,0,100,100
